Gen	theta_10NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGorOrang	theta_11NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGor	theta_12NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimp	theta_13NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMR	theta_14NeaDen	theta_15Yoruba_AFRSpain_EURChinese_EASPeru_AMR	theta_16Spain_EURChinese_EASPeru_AMR	theta_17Chinese_EASPeru_AMR	tau_10NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGorOrang	tau_11NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGor	tau_12NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimp	tau_13NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMR	tau_14NeaDen	tau_15Yoruba_AFRSpain_EURChinese_EASPeru_AMR	tau_16Spain_EURChinese_EASPeru_AMR	tau_17Chinese_EASPeru_AMR	lnL
10402	0.25107	0.0039966	0.0035869	0.0059876	0.0037371	0.0018319	0.00036735	0.0011699	0.011966	0.0079266	0.0070861	0.001021	0.0010206	0.00011648	5.0509e-05	1.4999e-05	-16557858.475
10404	0.25144	0.0039961	0.0033989	0.005987	0.0043586	0.0018317	0.00036731	0.0011698	0.011964	0.0079258	0.0070654	0.0010209	0.0010205	0.00011647	5.0503e-05	1.4998e-05	-16557591.741
10406	0.25185	0.0041002	0.0034065	0.005995	0.004086	0.0018342	0.00035387	0.0011713	0.011972	0.0079289	0.0070686	0.0010223	0.0010219	0.00011663	5.2562e-05	1.5018e-05	-16557707.252
10408	0.25149	0.0041084	0.003407	0.0059958	0.0039019	0.0018344	0.0003396	0.0011715	0.011974	0.0079151	0.0070694	0.0010224	0.001022	0.00011664	5.4785e-05	1.502e-05	-16557531.957
10410	0.25111	0.0041037	0.0033982	0.005989	0.003506	0.0018323	0.00035663	0.0011702	0.01196	0.0079061	0.0070717	0.0010213	0.0010209	0.00011651	5.205e-05	1.5003e-05	-16557437.438
10412	0.25164	0.0041097	0.0034064	0.0060034	0.0036666	0.0018367	0.00035749	0.001173	0.011994	0.0079326	0.0070887	0.0010237	0.0010233	0.00011679	5.2176e-05	1.5039e-05	-16557602.243
10414	0.25186	0.0040984	0.0033979	0.0059884	0.0041921	0.0018321	0.00035659	0.0011701	0.011955	0.0079149	0.007071	0.0010212	0.0010208	0.0001165	5.2046e-05	1.5001e-05	-16558053.723
10416	0.25123	0.0041076	0.0033929	0.0059884	0.0041996	0.0018321	0.00035659	0.0011701	0.011959	0.0078972	0.0070813	0.0010212	0.0010208	0.0001165	5.2046e-05	1.5001e-05	-16557329.532
10418	0.25065	0.0041137	0.0033937	0.0059884	0.0036246	0.0018321	0.00035659	0.0011701	0.011959	0.0078855	0.0070798	0.0010212	0.0010208	0.0001165	5.2046e-05	1.5001e-05	-16557686.660
10420	0.25062	0.004104	0.0033902	0.0059744	0.0037485	0.0018278	0.00032997	0.0011673	0.011931	0.007867	0.0070537	0.0010188	0.0010184	0.00011623	5.5981e-05	1.4966e-05	-16557632.090
10422	0.25027	0.0041012	0.0033795	0.0059704	0.0041375	0.0018266	0.00032975	0.0011665	0.011934	0.0078617	0.0070666	0.0010181	0.0010177	0.00011615	5.5943e-05	1.4956e-05	-16557904.916
10424	0.25051	0.0041102	0.0033808	0.005979	0.0041013	0.0018292	0.00033023	0.0011682	0.011951	0.0078673	0.0070842	0.0010196	0.0010192	0.00011632	5.6024e-05	1.4978e-05	-16557956.880
10426	0.25116	0.0041091	0.003381	0.005979	0.0036052	0.0018292	0.00033023	0.0011682	0.011946	0.0078692	0.0070839	0.0010196	0.0010192	0.00011632	5.6024e-05	1.4978e-05	-16557356.772
10428	0.25116	0.0041132	0.0033846	0.005979	0.003885	0.0018292	0.00034245	0.0011682	0.011948	0.0078614	0.0070762	0.0010196	0.0010192	0.00011632	5.4024e-05	1.4978e-05	-16557596.784
